* Sea Surface Temperature timeseries for an undisclosed location in the ocean.
* This dataset was prepared for a Class Project for Basic Computer Skills 2
* At the Cape Peninsula University of Technology.
* Column 1: UTC Date and Time [YYYYMMDDHHMMSS]
* Column 2: Sea Surface Temperature [Deg.C]
"20190905114404,15.4463"
"20190905114410,15.4466"
"20190905114416,15.4474"
"20190905114422,15.4480"
"20190905114428,15.4491"
"20190905114434,15.4498"
"20190905114440,15.4502"
"20190905114446,15.4510"
"20190905114452,15.4512"
"20190905114458,15.4513"
"20190905114504,15.4524"
"20190905114510,15.4530"
"20190905114516,15.4539"
"20190905114522,15.4537"
"20190905114528,15.4543"
"20190905114534,15.4554"
"20190905114540,15.4556"
"20190905114546,15.4563"
"20190905114552,15.4562"
"20190905114558,15.4566"
"20190905114604,15.4574"
"20190905114610,15.4577"
"20190905114616,15.4577"
"20190905114622,15.4582"
"20190905114628,15.4585"
"20190905114634,15.4589"
"20190905114640,15.4593"
"20190905114646,15.4588"
"20190905114652,15.4594"
"20190905114658,15.4597"
"20190905114704,15.4596"
"20190905114710,15.4592"
"20190905114716,15.4597"
"20190905114722,15.4597"
"20190905114728,15.4604"
"20190905114734,15.4594"
"20190905114740,15.4597"
"20190905114746,15.4597"
"20190905114752,15.4582"
"20190905114758,15.4571"
"20190905114804,15.4566"
"20190905114810,15.4562"
"20190905114816,15.4557"
"20190905114822,15.4557"
"20190905114828,15.4547"
"20190905114834,15.4548"
"20190905114840,15.4546"
"20190905114846,15.4544"
"20190905114852,15.4544"
"20190905114858,15.4551"
"20190905114904,15.4555"
"20190905114910,15.4546"
"20190905114916,15.4553"
"20190905114922,15.4559"
"20190905114928,15.4567"
"20190905114934,15.4566"
"20190905114940,15.4567"
"20190905114946,15.4563"
"20190905114952,15.4569"
"20190905114958,15.4579"
"20190905115004,15.4586"
"20190905115010,15.4592"
"20190905115016,15.4588"
"20190905115022,15.4598"
"20190905115028,15.4601"
"20190905115034,15.4604"
"20190905115040,15.4606"
"20190905115046,15.4603"
"20190905115052,15.4603"
"20190905115058,15.4605"
"20190905115104,15.4603"
"20190905115110,15.4611"
"20190905115116,15.4616"
"20190905115122,15.4618"
"20190905115128,15.4626"
"20190905115134,15.4623"
"20190905115140,15.4618"
"20190905115146,15.4614"
"20190905115152,15.4608"
"20190905115158,15.4604"
"20190905115204,15.4599"
"20190905115210,15.4596"
"20190905115216,15.4599"
"20190905115222,15.4590"
"20190905115228,15.4587"
"20190905115234,15.4583"
"20190905115240,15.4588"
"20190905115246,15.4575"
"20190905115252,15.4584"
"20190905115258,15.4577"
"20190905115304,15.4559"
"20190905115310,15.4551"
"20190905115316,15.4538"
"20190905115322,15.4528"
"20190905115328,15.4520"
"20190905115334,15.4516"
"20190905115340,15.4507"
"20190905115346,15.4496"
"20190905115352,15.4495"
"20190905115358,15.4495"
"20190905115404,15.4500"
"20190905115410,15.4505"
"20190905115416,15.4507"
"20190905115422,15.4505"
"20190905115428,15.4499"
"20190905115434,15.4496"
"20190905115440,15.4487"
"20190905115446,15.4493"
"20190905115452,15.4486"
"20190905115458,15.4485"
"20190905115504,15.4487"
"20190905115510,15.4485"
"20190905115516,15.4486"
"20190905115522,15.4497"
"20190905115528,15.4483"
"20190905115534,15.4472"
"20190905115540,15.4472"
"20190905115546,15.4471"
"20190905115552,15.4481"
"20190905115558,15.4485"
"20190905115604,15.4492"
"20190905115610,15.4490"
"20190905115616,15.4491"
"20190905115622,15.4502"
"20190905115628,15.4503"
"20190905115634,15.4503"
"20190905115640,15.4501"
"20190905115646,15.4498"
"20190905115652,15.4507"
"20190905115658,15.4514"
"20190905115704,15.4512"
"20190905115710,15.4519"
"20190905115716,15.4515"
"20190905115722,15.4520"
"20190905115728,15.4525"
